NAME,RESTAURANT NAME,CALORIES,CATEGORY,PRICE ,ALLERGENS 1,ALLERGENS 2,ALLERGENS 3,ALLERGENS 4,ALLERGENS 5,ALLERGENS 6,ALLERGENS 7,ALLERGENS 8,ALLERGENS 9,ALLERGENS 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3,
12 VEGGIES SOUP (LARGE),AU BON PAIN,240,MEAL, , SOY, , , , , , , , , ,SOUP,EGGS, ,
12 VEGGIES SOUP (MEDIUM),AU BON PAIN,180,MEAL, , SOY, , , , , , , , , ,SOUP,EGGS, ,
12 VEGGIES SOUP (SMALL),AU BON PAIN,120,MEAL, , SOY, , , , , , , , , ,SOUP,EGGS, ,
2 EGGS & BACON ON SKINNY WHEAT BAGEL,AU BON PAIN,280,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,BACON,
2 EGGS & TURKEY SAUSAGE ON SKINNY WHEAT BAGEL,AU BON PAIN,310,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,SAUSAGE,
2 EGGS ON A BAGEL,AU BON PAIN,390,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS, ,
2 EGGS ON A BAGEL WITH BACON,AU BON PAIN,450,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,BACON,
2 EGGS ON A BAGEL WITH BACON & CHEESE,AU BON PAIN,500,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,BACON,
2 EGGS ON A BAGEL WITH CHEESE,AU BON PAIN,450,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,CHEESE,
2 EGGS ON A BAGEL WITH HAM,AU BON PAIN,440,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,HAM,
2 EGGS  BACON & CHEDDAR ON CIABATTA,AU BON PAIN,440,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,BACON,
2 EGGS  CHEDDAR & BACON ON SKINNY WHEAT BAGEL,AU BON PAIN,340,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,BACON,
2 EGGS  CHEDDAR & HAM ON SKINNY WHEAT BAGEL,AU BON PAIN,330,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,HAM,
2 EGGS  CHEDDAR & SAUSAGE ON SKINNY WHEAT BAGEL,AU BON PAIN,450,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,SAUSAGE,
2 EGGS  SAUSAGE & CHEDDAR ON ASIAGO BAGEL,AU BON PAIN,690,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,SAUSAGE,
2 EGGS  SAUSAGE & CHEDDAR ON CIABATTA,AU BON PAIN,550,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,SAUSAGE,
2 EGGS  TURKEY SAUSAGE & CHEDDAR ON SKINNY WHEAT BAGEL,AU BON PAIN,370,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH,EGGS,SAUSAGE,
2 FRIED EGGS,CAFE DE GRASTA,,MEAL, , , , , , , , , , , ,EGGS, , ,
